date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:57	93/93	---MCZ	200	added ('OK')	text/plain	etag:W/%226384384e-4d%22	https://radiustheme.com/robots.txt		(from )
02:07:57	99382/99382	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Dec%202022%2020:35:42%20GMT	https://radiustheme.com/demo/html/Deltech Technologies/	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/index.html	(from )
02:07:57	2145/2145	---M--	200	added ('OK')	image/png	etag:%226182562a-861%22	https://radiustheme.com/demo/html/Deltech Technologies/favicon.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/favicon.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:58	3159/3159	---MCZ	200	added ('OK')	text/css	etag:W/%2261825676-c57%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/flaticon/flaticon.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/flaticon/flaticon.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:58	58935/58935	---MCZ	200	added ('OK')	text/css	etag:W/%226182563f-e637%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/css/all.min.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/css/all.min.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:58	1327/1327	---MCZ	200	added ('OK')	text/css	etag:W/%2261825698-52f%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/slick/slick.min.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/slick/slick.min.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:58	69472/69472	---MCZ	200	added ('OK')	text/css	etag:W/%2261825669-10f60%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/animation/animate.min.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/animation/animate.min.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:58	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%2261825690-fa7%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/niceselect/nice-select.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/niceselect/nice-select.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:59	12281/12281	---MCZ	200	added ('OK')	text/css	etag:W/%2261825668-2ff9%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/animation/custom-animation.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/dependencies/animation/custom-animation.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:59	494160/494160	---MCZ	200	added ('OK')	text/css	etag:W/%2261825641-78a50%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/css/style.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/css/style.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:07:59	0/0	---M--	200	added ('OK')	text/css	etag:%22614afdba-0%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/css/custom.css	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/css/custom.css	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:00	99382/99382	---MCZ	200	added ('OK')	text/html	etag:W/%226182562e-18436%22	https://radiustheme.com/demo/html/Deltech Technologies/index.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/index-2.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:00	2065/2065	---M--	200	added ('OK')	image/png	etag:%226182564a-811%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/logo.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/logo.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:01	78812/78812	---MCZ	200	added ('OK')	text/html	etag:W/%2261825638-133dc%22	https://radiustheme.com/demo/html/Deltech Technologies/software-innovation.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/software-innovation.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:01	78879/78879	---MCZ	200	added ('OK')	text/html	etag:W/%226182562f-1341f%22	https://radiustheme.com/demo/html/Deltech Technologies/it-agency.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/it-agency.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:01	22726/22726	---MCZ	200	added ('OK')	text/html	etag:W/%226182563a-58c6%22	https://radiustheme.com/demo/html/Deltech Technologies/vertical-slider.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/vertical-slider.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
